"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Aug 21 18:44:44 GMT 2025","Thu Aug 21 18:44:50 GMT 2025","6324","LMS system","Courses","Courses","","","Create course",""
"passed","Thu Aug 21 18:44:53 GMT 2025","Thu Aug 21 18:44:55 GMT 2025","1781","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Thu Aug 21 18:44:51 GMT 2025","Thu Aug 21 18:44:53 GMT 2025","2418","LMS system","Courses","Courses","","","Create course 2",""
"passed","Thu Aug 21 18:44:37 GMT 2025","Thu Aug 21 18:44:39 GMT 2025","2252","LMS system","Authentication","LOGIN","","","User login with wrong email or password",""
"passed","Thu Aug 21 18:44:37 GMT 2025","Thu Aug 21 18:44:39 GMT 2025","1860","LMS system","Authentication","LOGIN","","","User login with wrong email or password",""
"broken","Thu Aug 21 18:44:39 GMT 2025","Thu Aug 21 18:44:39 GMT 2025","11","LMS system","Authentication","LOGIN","","","User login with correct email and password",""
"passed","Thu Aug 21 18:45:13 GMT 2025","Thu Aug 21 18:45:15 GMT 2025","1184","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"broken","Thu Aug 21 18:44:40 GMT 2025","Thu Aug 21 18:45:11 GMT 2025","31345","LMS system","Authentication","LOGIN","","","Navigation from login page to registration page",""
"passed","Thu Aug 21 18:44:39 GMT 2025","Thu Aug 21 18:44:41 GMT 2025","1478","LMS system","Authentication","LOGIN","","","User login with wrong email or password",""
"broken","Thu Aug 21 18:44:41 GMT 2025","Thu Aug 21 18:44:42 GMT 2025","1043","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
