"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 21 20:03:06 GMT 2025","Thu Aug 21 20:03:08 GMT 2025","1722","LMS system","Authentication","LOGIN","","","User login with wrong email or password",""
"passed","Thu Aug 21 20:03:43 GMT 2025","Thu Aug 21 20:03:44 GMT 2025","1091","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"broken","Thu Aug 21 20:03:08 GMT 2025","Thu Aug 21 20:03:08 GMT 2025","13","LMS system","Authentication","LOGIN","","","User login with correct email and password",""
"passed","Thu Aug 21 20:03:06 GMT 2025","Thu Aug 21 20:03:08 GMT 2025","1725","LMS system","Authentication","LOGIN","","","User login with wrong email or password",""
"passed","Thu Aug 21 20:03:08 GMT 2025","Thu Aug 21 20:03:10 GMT 2025","1401","LMS system","Authentication","LOGIN","","","User login with wrong email or password",""
"passed","Thu Aug 21 20:03:19 GMT 2025","Thu Aug 21 20:03:21 GMT 2025","2111","LMS system","Courses","Courses","","","Create course 2",""
"broken","Thu Aug 21 20:03:10 GMT 2025","Thu Aug 21 20:03:11 GMT 2025","965","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"failed","Thu Aug 21 20:03:12 GMT 2025","Thu Aug 21 20:03:18 GMT 2025","6080","LMS system","Courses","Courses","","","Create course",""
"broken","Thu Aug 21 20:03:09 GMT 2025","Thu Aug 21 20:03:40 GMT 2025","31165","LMS system","Authentication","LOGIN","","","Navigation from login page to registration page",""
"passed","Thu Aug 21 20:03:21 GMT 2025","Thu Aug 21 20:03:23 GMT 2025","1514","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
