"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 21 20:09:45 GMT 2025","Thu Aug 21 20:09:47 GMT 2025","1725","LMS system","Authentication","LOGIN","","","User login with wrong email or password",""
"broken","Thu Aug 21 20:09:49 GMT 2025","Thu Aug 21 20:10:20 GMT 2025","31173","LMS system","Authentication","LOGIN","","","Navigation from login page to registration page",""
"failed","Thu Aug 21 20:10:22 GMT 2025","Thu Aug 21 20:10:28 GMT 2025","6120","LMS system","Courses","Courses","","","Create course",""
"passed","Thu Aug 21 20:09:45 GMT 2025","Thu Aug 21 20:09:47 GMT 2025","1725","LMS system","Authentication","LOGIN","","","User login with wrong email or password",""
"passed","Thu Aug 21 20:09:47 GMT 2025","Thu Aug 21 20:09:48 GMT 2025","1286","LMS system","Authentication","LOGIN","","","User login with wrong email or password",""
"broken","Thu Aug 21 20:09:48 GMT 2025","Thu Aug 21 20:09:49 GMT 2025","986","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Thu Aug 21 20:09:54 GMT 2025","Thu Aug 21 20:09:55 GMT 2025","1467","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Thu Aug 21 20:09:52 GMT 2025","Thu Aug 21 20:09:53 GMT 2025","1871","LMS system","Courses","Courses","","","Create course 2",""
"broken","Thu Aug 21 20:09:47 GMT 2025","Thu Aug 21 20:09:47 GMT 2025","12","LMS system","Authentication","LOGIN","","","User login with correct email and password",""
"passed","Thu Aug 21 20:09:50 GMT 2025","Thu Aug 21 20:09:51 GMT 2025","1063","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
