"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Aug 21 18:11:05 GMT 2025","Thu Aug 21 18:11:05 GMT 2025","0","LMS system","Authentication","LOGIN","","","Navigation from login page to registration page",""
"broken","Thu Aug 21 18:11:04 GMT 2025","Thu Aug 21 18:11:04 GMT 2025","1","LMS system","Authentication","LOGIN","","","User login with wrong email or password",""
"broken","Thu Aug 21 18:11:04 GMT 2025","Thu Aug 21 18:11:04 GMT 2025","0","LMS system","Authentication","LOGIN","","","User login with wrong email or password",""
"broken","Thu Aug 21 18:11:04 GMT 2025","Thu Aug 21 18:11:04 GMT 2025","0","LMS system","Authentication","LOGIN","","","User login with correct email and password",""
"broken","Thu Aug 21 18:11:05 GMT 2025","Thu Aug 21 18:11:05 GMT 2025","0","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"broken","Thu Aug 21 18:11:04 GMT 2025","Thu Aug 21 18:11:04 GMT 2025","0","LMS system","Authentication","LOGIN","","","User login with wrong email or password",""
"broken","Thu Aug 21 18:11:05 GMT 2025","Thu Aug 21 18:11:06 GMT 2025","1529","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"broken","Thu Aug 21 18:11:05 GMT 2025","Thu Aug 21 18:11:05 GMT 2025","0","LMS system","Courses","Courses","","","Create course 2",""
"broken","Thu Aug 21 18:11:05 GMT 2025","Thu Aug 21 18:11:05 GMT 2025","0","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"broken","Thu Aug 21 18:11:06 GMT 2025","Thu Aug 21 18:11:06 GMT 2025","0","LMS system","Courses","Courses","","","Create course",""
