"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 25 14:34:45 GMT 2025","Mon Aug 25 14:34:46 GMT 2025","1099","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Mon Aug 25 14:34:42 GMT 2025","Mon Aug 25 14:34:44 GMT 2025","2106","LMS system","Authentication","LOGIN","","","User login with wrong email or password",""
"passed","Mon Aug 25 14:34:45 GMT 2025","Mon Aug 25 14:34:46 GMT 2025","1316","LMS system","Authentication","LOGIN","","","User login with wrong email or password",""
"failed","Mon Aug 25 14:35:20 GMT 2025","Mon Aug 25 14:35:26 GMT 2025","6117","LMS system","Courses","Courses","","","Create course",""
"passed","Mon Aug 25 14:34:48 GMT 2025","Mon Aug 25 14:34:49 GMT 2025","1408","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Mon Aug 25 14:34:42 GMT 2025","Mon Aug 25 14:34:44 GMT 2025","2133","LMS system","Authentication","LOGIN","","","User login with wrong email or password",""
"broken","Mon Aug 25 14:34:45 GMT 2025","Mon Aug 25 14:34:45 GMT 2025","9","LMS system","Authentication","LOGIN","","","User login with correct email and password",""
"passed","Mon Aug 25 14:34:52 GMT 2025","Mon Aug 25 14:34:53 GMT 2025","1477","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Mon Aug 25 14:34:49 GMT 2025","Mon Aug 25 14:34:52 GMT 2025","2044","LMS system","Courses","Courses","","","Create course 2",""
"broken","Mon Aug 25 14:34:46 GMT 2025","Mon Aug 25 14:35:17 GMT 2025","31189","LMS system","Authentication","LOGIN","","","Navigation from login page to registration page",""
